Dimension,Entropy,Cinternal,Cexternal
69.0,0.9979515,0.45,0.1
57.0,0.9977982,0.45,0.05
52.0,0.9973914,0.45,0.01
40.0,0.9972212,0.3,0.1
46.0,0.9977871,0.3,0.05
34.0,0.9980037,0.3,0.01
44.0,0.9974379,0.35,0.1
39.0,0.9969554,0.35,0.05
37.0,0.99812543,0.35,0.01
57.0,0.9965515,0.4,0.1
47.0,0.9966437,0.4,0.05
44.0,0.99690723,0.4,0.01
69.0,0.9982732,0.45,0.1
58.0,0.9980603,0.45,0.05
50.0,0.9970465,0.45,0.01
41.0,0.9964137,0.3,0.1
30.0,0.99788177,0.3,0.05
36.0,0.9970957,0.3,0.01
46.0,0.9963258,0.35,0.1
47.0,0.99821144,0.35,0.05
31.0,0.9971938,0.35,0.01
63.0,0.9977555,0.4,0.1
47.0,0.9970071,0.4,0.05
40.0,0.99705195,0.4,0.01
59.0,0.9977316,0.45,0.1
58.0,0.9968412,0.45,0.05
43.0,0.99651223,0.45,0.01
43.0,0.99756634,0.3,0.1
37.0,0.9974706,0.3,0.05
29.0,0.99854827,0.3,0.01
42.0,0.99779,0.35,0.1
43.0,0.99781793,0.35,0.05
28.0,0.99790716,0.35,0.01
51.0,0.99691373,0.4,0.1
51.0,0.9966653,0.4,0.05
34.0,0.9973437,0.4,0.01
30.0,0.99801594,0.45,0.1
48.0,0.99789,0.45,0.05
59.0,0.99791825,0.45,0.01
40.0,0.9974656,0.3,0.1
27.0,0.99810725,0.3,0.05
29.0,0.9983443,0.3,0.01
51.0,0.9975026,0.35,0.1
46.0,0.99807435,0.35,0.05
37.0,0.997414,0.35,0.01
57.0,0.997777,0.4,0.1
49.0,0.9972502,0.4,0.05
45.0,0.9979161,0.4,0.01
59.0,0.9967662,0.45,0.1
53.0,0.9975059,0.45,0.05
48.0,0.997408,0.45,0.01
46.0,0.99776393,0.3,0.1
32.0,0.9979842,0.3,0.05
27.0,0.99814385,0.3,0.01
55.0,0.997371,0.35,0.1
40.0,0.9971166,0.35,0.05
43.0,0.99677134,0.35,0.01
64.0,0.9982002,0.4,0.1
51.0,0.9975007,0.4,0.05
47.0,0.99714404,0.4,0.01
68.0,0.9979411,0.45,0.1
59.0,0.99767905,0.45,0.05
50.0,0.9963431,0.45,0.01
48.0,0.9963399,0.3,0.1
38.0,0.9976644,0.3,0.05
28.0,0.99871904,0.3,0.01
51.0,0.99697727,0.35,0.1
34.0,0.99736166,0.35,0.05
38.0,0.99779296,0.35,0.01
56.0,0.99654657,0.4,0.1
37.0,0.99777144,0.4,0.05
34.0,0.997903,0.4,0.01
56.0,0.9974544,0.45,0.1
55.0,0.99823016,0.45,0.05
55.0,0.9970327,0.45,0.01
36.0,0.998215,0.3,0.1
31.0,0.99848276,0.3,0.05
34.0,0.99814636,0.3,0.01
53.0,0.9967409,0.35,0.1
39.0,0.99763554,0.35,0.05
33.0,0.9983345,0.35,0.01
57.0,0.9980076,0.4,0.1
52.0,0.9965999,0.4,0.05
41.0,0.99728775,0.4,0.01
55.0,0.9968654,0.45,0.1
51.0,0.99621075,0.45,0.05
48.0,0.9975843,0.45,0.01
45.0,0.99735004,0.3,0.1
41.0,0.99804807,0.3,0.05
26.0,0.9985741,0.3,0.01
50.0,0.99658126,0.35,0.1
46.0,0.9970858,0.35,0.05
31.0,0.9981309,0.35,0.01
52.0,0.9976694,0.4,0.1
43.0,0.9957773,0.4,0.05
54.0,0.997855,0.4,0.01
36.0,0.99838424,0.45,0.1
57.0,0.996716,0.45,0.05
49.0,0.9966624,0.45,0.01
41.0,0.9978125,0.3,0.1
35.0,0.9974186,0.3,0.05
35.0,0.9978068,0.3,0.01
42.0,0.997194,0.35,0.1
48.0,0.9971144,0.35,0.05
38.0,0.99783105,0.35,0.01
57.0,0.99652445,0.4,0.1
47.0,0.996791,0.4,0.05
37.0,0.99815965,0.4,0.01
54.0,0.9978534,0.45,0.1
55.0,0.99756306,0.45,0.05
49.0,0.9963752,0.45,0.01
41.0,0.99781203,0.3,0.1
41.0,0.99695945,0.3,0.05
30.0,0.99821746,0.3,0.01
51.0,0.9978547,0.35,0.1
32.0,0.9978031,0.35,0.05
36.0,0.998357,0.35,0.01
55.0,0.99668145,0.4,0.1
61.0,0.9982043,0.4,0.05
43.0,0.9972098,0.4,0.01
55.0,0.9973044,0.45,0.1
52.0,0.99773824,0.45,0.05
55.0,0.9976855,0.45,0.01
40.0,0.9966189,0.3,0.1
39.0,0.9978916,0.3,0.05
25.0,0.99874485,0.3,0.01
49.0,0.99535704,0.35,0.1
45.0,0.997692,0.35,0.05
38.0,0.99773145,0.35,0.01
53.0,0.997557,0.4,0.1
38.0,0.9974099,0.4,0.05
54.0,0.9970774,0.4,0.01
57.0,0.9960744,0.45,0.1
54.0,0.9973357,0.45,0.05
49.0,0.99786854,0.45,0.01
44.0,0.9972669,0.3,0.1
29.0,0.99828947,0.3,0.05
30.0,0.99789935,0.3,0.01
60.0,0.9982508,0.35,0.1
36.0,0.99781436,0.35,0.05
31.0,0.99795187,0.35,0.01
55.0,0.99742925,0.4,0.1
48.0,0.997253,0.4,0.05
43.0,0.9978381,0.4,0.01
28.0,0.9976386,0.45,0.1
65.0,0.9978536,0.45,0.05
58.0,0.997711,0.45,0.01
44.0,0.99680465,0.3,0.1
35.0,0.99799615,0.3,0.05
26.0,0.99829894,0.3,0.01
57.0,0.9978886,0.35,0.1
37.0,0.99768907,0.35,0.05
45.0,0.99711376,0.35,0.01
56.0,0.99670714,0.4,0.1
46.0,0.99689305,0.4,0.05
48.0,0.9970642,0.4,0.01
50.0,0.9971273,0.45,0.1
65.0,0.9983522,0.45,0.05
44.0,0.99696827,0.45,0.01
36.0,0.99711365,0.3,0.1
27.0,0.998089,0.3,0.05
26.0,0.9987181,0.3,0.01
49.0,0.9976741,0.35,0.1
40.0,0.9976862,0.35,0.05
33.0,0.9973447,0.35,0.01
62.0,0.9980247,0.4,0.1
58.0,0.99705434,0.4,0.05
34.0,0.996927,0.4,0.01
57.0,0.9963778,0.45,0.1
62.0,0.9980448,0.45,0.05
56.0,0.99713564,0.45,0.01
30.0,0.9978096,0.3,0.1
29.0,0.99848956,0.3,0.05
28.0,0.9983082,0.3,0.01
47.0,0.99739647,0.35,0.1
44.0,0.99782866,0.35,0.05
33.0,0.998047,0.35,0.01
68.0,0.99817634,0.4,0.1
53.0,0.9977731,0.4,0.05
54.0,0.9972223,0.4,0.01
29.0,0.9978294,0.45,0.1
60.0,0.99776655,0.45,0.05
59.0,0.9981645,0.45,0.01
39.0,0.9978909,0.3,0.1
34.0,0.9983574,0.3,0.05
38.0,0.9981183,0.3,0.01
47.0,0.9978461,0.35,0.1
36.0,0.9980682,0.35,0.05
45.0,0.99808383,0.35,0.01
57.0,0.99816006,0.4,0.1
48.0,0.9964519,0.4,0.05
52.0,0.9966988,0.4,0.01
60.0,0.99789464,0.45,0.1
52.0,0.9965339,0.45,0.05
43.0,0.9974109,0.45,0.01
37.0,0.9974336,0.3,0.1
22.0,0.99840236,0.3,0.05
29.0,0.9983286,0.3,0.01
46.0,0.9967449,0.35,0.1
36.0,0.9964699,0.35,0.05
42.0,0.9974494,0.35,0.01
57.0,0.99763757,0.4,0.1
42.0,0.99707717,0.4,0.05
40.0,0.9971159,0.4,0.01
61.0,0.9961223,0.45,0.1
