Dimension,Entropy,Cinternal,Cexternal
41.0,0.9980458,0.35,0.05
37.0,0.9978863,0.35,0.01
57.0,0.996476,0.4,0.1
50.0,0.9975755,0.4,0.05
45.0,0.9967131,0.4,0.01
30.0,0.9974951,0.45,0.1
60.0,0.9971041,0.45,0.05
49.0,0.99621433,0.45,0.01
42.0,0.99786437,0.3,0.1
39.0,0.9983033,0.3,0.05
32.0,0.99815774,0.3,0.01
59.0,0.9979424,0.35,0.1
48.0,0.99627095,0.35,0.05
30.0,0.99778825,0.35,0.01
55.0,0.9970769,0.4,0.1
51.0,0.9980895,0.4,0.05
54.0,0.99759936,0.4,0.01
54.0,0.99660146,0.45,0.1
54.0,0.9977145,0.45,0.05
49.0,0.9980984,0.45,0.01
40.0,0.9975516,0.3,0.1
34.0,0.9978103,0.3,0.05
32.0,0.9982931,0.3,0.01
57.0,0.9979503,0.35,0.1
42.0,0.997286,0.35,0.05
40.0,0.99779785,0.35,0.01
57.0,0.9979324,0.4,0.1
48.0,0.9977464,0.4,0.05
34.0,0.99844843,0.4,0.01
68.0,0.9979749,0.45,0.1
51.0,0.9966398,0.45,0.05
54.0,0.997336,0.45,0.01
41.0,0.9972462,0.3,0.1
32.0,0.99788374,0.3,0.05
30.0,0.99788934,0.3,0.01
49.0,0.9969177,0.35,0.1
39.0,0.99743557,0.35,0.05
43.0,0.99682826,0.35,0.01
52.0,0.9965669,0.4,0.1
44.0,0.99667907,0.4,0.05
47.0,0.9974554,0.4,0.01
58.0,0.99672425,0.45,0.1
48.0,0.996313,0.45,0.05
44.0,0.9972214,0.45,0.01
47.0,0.9973274,0.3,0.1
26.0,0.9981422,0.3,0.05
30.0,0.9988023,0.3,0.01
35.0,0.9976017,0.35,0.1
40.0,0.9964051,0.35,0.05
39.0,0.9970885,0.35,0.01
54.0,0.9969085,0.4,0.1
53.0,0.9975301,0.4,0.05
45.0,0.9967937,0.4,0.01
58.0,0.9960975,0.45,0.1
60.0,0.99830467,0.45,0.05
52.0,0.9972807,0.45,0.01
40.0,0.99803525,0.3,0.1
26.0,0.9986278,0.3,0.05
30.0,0.99842733,0.3,0.01
56.0,0.997015,0.35,0.1
32.0,0.99749,0.35,0.05
37.0,0.9981507,0.35,0.01
58.0,0.9978472,0.4,0.1
43.0,0.9975389,0.4,0.05
56.0,0.9975059,0.4,0.01
34.0,0.9979709,0.45,0.1
58.0,0.9979823,0.45,0.05
51.0,0.9968566,0.45,0.01
39.0,0.9977142,0.3,0.1
32.0,0.9981058,0.3,0.05
27.0,0.9973528,0.3,0.01
51.0,0.9967991,0.35,0.1
39.0,0.99694633,0.35,0.05
41.0,0.9983258,0.35,0.01
53.0,0.9966102,0.4,0.1
50.0,0.99701375,0.4,0.05
39.0,0.9980083,0.4,0.01
60.0,0.9979463,0.45,0.1
65.0,0.99804157,0.45,0.05
45.0,0.9975211,0.45,0.01
34.0,0.9975378,0.3,0.1
34.0,0.9982688,0.3,0.05
28.0,0.9982168,0.3,0.01
47.0,0.9970507,0.35,0.1
31.0,0.99826515,0.35,0.05
51.0,0.9968821,0.35,0.01
59.0,0.99796355,0.4,0.1
46.0,0.99791867,0.4,0.05
53.0,0.998025,0.4,0.01
59.0,0.9980343,0.45,0.1
49.0,0.9967137,0.45,0.05
58.0,0.9967789,0.45,0.01
55.0,0.9971243,0.3,0.1
34.0,0.997427,0.3,0.05
33.0,0.9972371,0.3,0.01
52.0,0.9970364,0.35,0.1
42.0,0.9976207,0.35,0.05
35.0,0.9979948,0.35,0.01
57.0,0.9963395,0.4,0.1
44.0,0.99733585,0.4,0.05
40.0,0.9979083,0.4,0.01
59.0,0.99806964,0.45,0.1
52.0,0.99786836,0.45,0.05
47.0,0.9978053,0.45,0.01
41.0,0.9974498,0.3,0.1
31.0,0.99842286,0.3,0.05
28.0,0.99847084,0.3,0.01
52.0,0.996258,0.35,0.1
42.0,0.99721533,0.35,0.05
29.0,0.9982314,0.35,0.01
58.0,0.9971159,0.4,0.1
52.0,0.9981918,0.4,0.05
46.0,0.997904,0.4,0.01
67.0,0.99776626,0.45,0.1
57.0,0.99790937,0.45,0.05
53.0,0.99689084,0.45,0.01
43.0,0.99736196,0.3,0.1
40.0,0.99826664,0.3,0.05
22.0,0.9984407,0.3,0.01
47.0,0.9978213,0.35,0.1
33.0,0.9972322,0.35,0.05
40.0,0.99788314,0.35,0.01
55.0,0.99695796,0.4,0.1
46.0,0.9967712,0.4,0.05
38.0,0.99736553,0.4,0.01
55.0,0.9967033,0.45,0.1
57.0,0.99656725,0.45,0.05
48.0,0.9977669,0.45,0.01
37.0,0.997421,0.3,0.1
36.0,0.998091,0.3,0.05
27.0,0.99860513,0.3,0.01
55.0,0.9968199,0.35,0.1
43.0,0.9981976,0.35,0.05
34.0,0.9978917,0.35,0.01
55.0,0.99669963,0.4,0.1
59.0,0.99817634,0.4,0.05
41.0,0.9978567,0.4,0.01
60.0,0.99664986,0.45,0.1
59.0,0.99673754,0.45,0.05
43.0,0.99723387,0.45,0.01
29.0,0.9983307,0.3,0.1
41.0,0.99721617,0.3,0.05
30.0,0.9987338,0.3,0.01
42.0,0.9975138,0.35,0.1
40.0,0.99775684,0.35,0.05
33.0,0.99841845,0.35,0.01
55.0,0.9962988,0.4,0.1
54.0,0.997136,0.4,0.05
41.0,0.99770415,0.4,0.01
43.0,0.9981799,0.45,0.1
58.0,0.99786735,0.45,0.05
56.0,0.9976468,0.45,0.01
41.0,0.99811727,0.3,0.1
39.0,0.9982991,0.3,0.05
24.0,0.99856657,0.3,0.01
54.0,0.9975356,0.35,0.1
50.0,0.9974006,0.35,0.05
28.0,0.9983967,0.35,0.01
53.0,0.99739546,0.4,0.1
48.0,0.9963528,0.4,0.05
44.0,0.99806213,0.4,0.01
60.0,0.996861,0.45,0.1
52.0,0.99724865,0.45,0.05
58.0,0.9979776,0.45,0.01
46.0,0.99682677,0.3,0.1
31.0,0.99772424,0.3,0.05
21.0,0.9989468,0.3,0.01
54.0,0.99798894,0.35,0.1
45.0,0.99679494,0.35,0.05
37.0,0.9974182,0.35,0.01
51.0,0.99606276,0.4,0.1
48.0,0.9967845,0.4,0.05
43.0,0.99736416,0.4,0.01
68.0,0.998034,0.45,0.1
57.0,0.9977239,0.45,0.05
48.0,0.99756163,0.45,0.01
41.0,0.9973704,0.3,0.1
32.0,0.9978662,0.3,0.05
28.0,0.99880356,0.3,0.01
55.0,0.997657,0.35,0.1
50.0,0.9971578,0.35,0.05
39.0,0.99822015,0.35,0.01
59.0,0.9957681,0.4,0.1
56.0,0.99798393,0.4,0.05
47.0,0.9973933,0.4,0.01
58.0,0.9978985,0.45,0.1
76.0,0.99838185,0.45,0.05
50.0,0.99778384,0.45,0.01
42.0,0.99748725,0.3,0.1
38.0,0.9979116,0.3,0.05
29.0,0.9982332,0.3,0.01
57.0,0.9980231,0.35,0.1
38.0,0.99803895,0.35,0.05
33.0,0.9977156,0.35,0.01
45.0,0.9962318,0.4,0.1
55.0,0.9975285,0.4,0.05
46.0,0.9966328,0.4,0.01
29.0,0.99818003,0.45,0.1
51.0,0.9966801,0.45,0.05
53.0,0.99685824,0.45,0.01
35.0,0.9982683,0.3,0.1
38.0,0.99789745,0.3,0.05
28.0,0.9985588,0.3,0.01
53.0,0.9973747,0.35,0.1
36.0,0.9970041,0.35,0.05
32.0,0.9981165,0.35,0.01
50.0,0.99675083,0.4,0.1
44.0,0.9973349,0.4,0.05
41.0,0.99814224,0.4,0.01
28.0,0.99775153,0.45,0.1
52.0,0.99791306,0.45,0.05
54.0,0.9969065,0.45,0.01
43.0,0.9983476,0.3,0.1
37.0,0.99806786,0.3,0.05
36.0,0.9983951,0.3,0.01
47.0,0.99705464,0.35,0.1
38.0,0.9976189,0.35,0.05
44.0,0.99790555,0.35,0.01
52.0,0.9975245,0.4,0.1
46.0,0.9974802,0.4,0.05
50.0,0.9968148,0.4,0.01
56.0,0.99783677,0.45,0.1
57.0,0.99741703,0.45,0.05
45.0,0.9976432,0.45,0.01
34.0,0.9979997,0.3,0.1
38.0,0.99821204,0.3,0.05
30.0,0.99831986,0.3,0.01
42.0,0.99755275,0.35,0.1
43.0,0.9970182,0.35,0.05
29.0,0.99835134,0.35,0.01
52.0,0.99782676,0.4,0.1
58.0,0.9977659,0.4,0.05
40.0,0.99740916,0.4,0.01
61.0,0.9979604,0.45,0.1
32.0,0.99773717,0.45,0.05
54.0,0.99608415,0.45,0.01
51.0,0.99824315,0.3,0.1
26.0,0.997637,0.3,0.05
36.0,0.9977066,0.3,0.01
43.0,0.9979252,0.35,0.1
46.0,0.99834293,0.35,0.05
29.0,0.99764067,0.35,0.01
57.0,0.9979067,0.4,0.1
55.0,0.99821836,0.4,0.05
41.0,0.9967268,0.4,0.01
35.0,0.99780846,0.45,0.1
55.0,0.9971792,0.45,0.05
47.0,0.9973827,0.45,0.01
46.0,0.9977961,0.3,0.1
39.0,0.9976006,0.3,0.05
26.0,0.99878573,0.3,0.01
48.0,0.9978796,0.35,0.1
39.0,0.9980828,0.35,0.05
41.0,0.9968648,0.35,0.01
55.0,0.99662346,0.4,0.1
48.0,0.9980368,0.4,0.05
45.0,0.99589604,0.4,0.01
52.0,0.99652666,0.45,0.1
48.0,0.99701774,0.45,0.05
46.0,0.9960092,0.45,0.01
37.0,0.99780124,0.3,0.1
34.0,0.99782646,0.3,0.05
27.0,0.998305,0.3,0.01
59.0,0.99763626,0.35,0.1
43.0,0.9966601,0.35,0.05
39.0,0.9981036,0.35,0.01
42.0,0.9966449,0.4,0.1
47.0,0.99659586,0.4,0.05
35.0,0.9969362,0.4,0.01
53.0,0.9973539,0.45,0.1
50.0,0.9975016,0.45,0.05
57.0,0.9969521,0.45,0.01
50.0,0.99683994,0.3,0.1
49.0,0.9969575,0.3,0.05
28.0,0.9983894,0.3,0.01
46.0,0.99777114,0.35,0.1
45.0,0.9977924,0.35,0.05
33.0,0.9983247,0.35,0.01
47.0,0.9973627,0.4,0.1
37.0,0.99802655,0.4,0.05
48.0,0.9980775,0.4,0.01
58.0,0.99603796,0.45,0.1
48.0,0.9975768,0.45,0.05
45.0,0.99690145,0.45,0.01
44.0,0.9979393,0.3,0.1
43.0,0.99762493,0.3,0.05
22.0,0.9986658,0.3,0.01
52.0,0.99756366,0.35,0.1
39.0,0.9975778,0.35,0.05
34.0,0.9979498,0.35,0.01
54.0,0.9964823,0.4,0.1
44.0,0.9975529,0.4,0.05
41.0,0.99688935,0.4,0.01
61.0,0.9963824,0.45,0.1
56.0,0.9970435,0.45,0.05
46.0,0.9979024,0.45,0.01
39.0,0.99729085,0.3,0.1
35.0,0.99810255,0.3,0.05
32.0,0.9979807,0.3,0.01
47.0,0.9969984,0.35,0.1
37.0,0.9978753,0.35,0.05
32.0,0.9981497,0.35,0.01
48.0,0.9969801,0.4,0.1
53.0,0.9976321,0.4,0.05
42.0,0.9976279,0.4,0.01
61.0,0.99755806,0.45,0.1
51.0,0.9966833,0.45,0.05
46.0,0.9958167,0.45,0.01
34.0,0.9977037,0.3,0.1
41.0,0.9964338,0.3,0.05
32.0,0.9977605,0.3,0.01
44.0,0.99696124,0.35,0.1
45.0,0.9976054,0.35,0.05
38.0,0.99753946,0.35,0.01
57.0,0.99681425,0.4,0.1
41.0,0.9968334,0.4,0.05
47.0,0.9965117,0.4,0.01
58.0,0.99733585,0.45,0.1
51.0,0.9975078,0.45,0.05
54.0,0.99670166,0.45,0.01
49.0,0.9970461,0.3,0.1
44.0,0.99704504,0.3,0.05
33.0,0.9982755,0.3,0.01
48.0,0.9977337,0.35,0.1
35.0,0.9967927,0.35,0.05
31.0,0.99814194,0.35,0.01
47.0,0.99644727,0.4,0.1
50.0,0.9975243,0.4,0.05
50.0,0.99594206,0.4,0.01
36.0,0.9978622,0.45,0.1
56.0,0.99671245,0.45,0.05
51.0,0.9973725,0.45,0.01
40.0,0.9979858,0.3,0.1
34.0,0.9980185,0.3,0.05
27.0,0.99842817,0.3,0.01
46.0,0.996805,0.35,0.1
44.0,0.9977409,0.35,0.05
33.0,0.99839467,0.35,0.01
52.0,0.99779767,0.4,0.1
52.0,0.9971576,0.4,0.05
47.0,0.9968199,0.4,0.01
60.0,0.9979536,0.45,0.1
45.0,0.99702233,0.45,0.05
47.0,0.99617,0.45,0.01
46.0,0.9962821,0.3,0.1
34.0,0.99780685,0.3,0.05
33.0,0.99819523,0.3,0.01
46.0,0.9971517,0.35,0.1
38.0,0.99734986,0.35,0.05
43.0,0.9975897,0.35,0.01
50.0,0.9974586,0.4,0.1
55.0,0.9977537,0.4,0.05
48.0,0.9980359,0.4,0.01
62.0,0.997676,0.45,0.1
56.0,0.9975331,0.45,0.05
56.0,0.9971332,0.45,0.01
39.0,0.99815905,0.3,0.1
28.0,0.9988414,0.3,0.05
18.0,0.9989349,0.3,0.01
53.0,0.9981866,0.35,0.1
34.0,0.9979972,0.35,0.05
37.0,0.99840295,0.35,0.01
60.0,0.99695593,0.4,0.1
54.0,0.99736375,0.4,0.05
47.0,0.9973924,0.4,0.01
64.0,0.99787813,0.45,0.1
56.0,0.9977463,0.45,0.05
37.0,0.9963778,0.45,0.01
35.0,0.99788976,0.3,0.1
37.0,0.997414,0.3,0.05
29.0,0.9981205,0.3,0.01
47.0,0.99667627,0.35,0.1
42.0,0.9975621,0.35,0.05
33.0,0.9982021,0.35,0.01
59.0,0.9971627,0.4,0.1
45.0,0.9972157,0.4,0.05
46.0,0.9969749,0.4,0.01
59.0,0.9978858,0.45,0.1
58.0,0.9974333,0.45,0.05
55.0,0.9968849,0.45,0.01
36.0,0.9973604,0.3,0.1
43.0,0.998259,0.3,0.05
36.0,0.9984674,0.3,0.01
44.0,0.9967501,0.35,0.1
44.0,0.99754196,0.35,0.05
35.0,0.9980846,0.35,0.01
59.0,0.9979339,0.4,0.1
46.0,0.99731,0.4,0.05
45.0,0.99808705,0.4,0.01
57.0,0.99669504,0.45,0.1
39.0,0.99628574,0.45,0.05
48.0,0.9976824,0.45,0.01
45.0,0.9961982,0.3,0.1
26.0,0.9985915,0.3,0.05
28.0,0.9977161,0.3,0.01
54.0,0.9962625,0.35,0.1
39.0,0.99767214,0.35,0.05
39.0,0.99776715,0.35,0.01
58.0,0.9976602,0.4,0.1
48.0,0.9968993,0.4,0.05
46.0,0.99733275,0.4,0.01
65.0,0.9981404,0.45,0.1
51.0,0.9979312,0.45,0.05
53.0,0.9968446,0.45,0.01
36.0,0.99800617,0.3,0.1
33.0,0.9985306,0.3,0.05
33.0,0.9977513,0.3,0.01
45.0,0.99697757,0.35,0.1
46.0,0.99819976,0.35,0.05
38.0,0.9975552,0.35,0.01
57.0,0.9968765,0.4,0.1
41.0,0.99779826,0.4,0.05
48.0,0.99707055,0.4,0.01
57.0,0.99636334,0.45,0.1
60.0,0.9979911,0.45,0.05
52.0,0.9965129,0.45,0.01
40.0,0.997601,0.3,0.1
35.0,0.99814427,0.3,0.05
35.0,0.9984988,0.3,0.01
50.0,0.99617046,0.35,0.1
35.0,0.99775726,0.35,0.05
31.0,0.99808127,0.35,0.01
62.0,0.99799544,0.4,0.1
54.0,0.9972745,0.4,0.05
37.0,0.9977676,0.4,0.01
57.0,0.99724275,0.45,0.1
50.0,0.99728644,0.45,0.05
44.0,0.9970848,0.45,0.01
