Dimension,Entropy,Predominance,Cint
19.0,0.9953355,0.99,0.35
55.0,0.99709576,0.5,0.4
57.0,0.99720156,0.8,0.4
58.0,0.9962818,0.9,0.4
27.0,0.99623364,0.99,0.4
49.0,0.9965493,0.5,0.45
36.0,0.99746084,0.8,0.45
59.0,0.99759626,0.9,0.45
29.0,0.9954004,0.99,0.45
37.0,0.99712694,0.5,0.3
36.0,0.9978599,0.8,0.3
33.0,0.9968457,0.9,0.3
23.0,0.9945071,0.99,0.3
44.0,0.9978339,0.5,0.35
48.0,0.9975183,0.8,0.35
46.0,0.9974102,0.9,0.35
11.0,0.9955859,0.99,0.35
45.0,0.9974879,0.5,0.4
49.0,0.9971876,0.8,0.4
44.0,0.9965509,0.9,0.4
24.0,0.99464047,0.99,0.4
48.0,0.99657714,0.5,0.45
59.0,0.9980848,0.8,0.45
60.0,0.99590516,0.9,0.45
19.0,0.9962731,0.99,0.45
39.0,0.9969823,0.5,0.3
38.0,0.99739087,0.8,0.3
39.0,0.99713105,0.9,0.3
11.0,0.9955681,0.99,0.3
42.0,0.99778754,0.5,0.35
42.0,0.997095,0.8,0.35
53.0,0.9974862,0.9,0.35
14.0,0.9960639,0.99,0.35
55.0,0.99689746,0.5,0.4
55.0,0.9980849,0.8,0.4
56.0,0.9965128,0.9,0.4
27.0,0.9958009,0.99,0.4
55.0,0.9972477,0.5,0.45
56.0,0.996758,0.8,0.45
60.0,0.99685943,0.9,0.45
31.0,0.9970002,0.99,0.45
38.0,0.99780893,0.5,0.3
39.0,0.99807656,0.8,0.3
57.0,0.9978697,0.9,0.3
17.0,0.99609476,0.99,0.3
47.0,0.9971288,0.5,0.35
42.0,0.9966236,0.8,0.35
47.0,0.99645936,0.9,0.35
21.0,0.9959985,0.99,0.35
60.0,0.9982354,0.5,0.4
41.0,0.99654806,0.8,0.4
52.0,0.99753004,0.9,0.4
9.0,0.9960167,0.99,0.4
60.0,0.9970687,0.5,0.45
57.0,0.99656516,0.8,0.45
55.0,0.9974069,0.9,0.45
21.0,0.9948344,0.99,0.45
34.0,0.99777585,0.5,0.3
43.0,0.997782,0.8,0.3
44.0,0.9976674,0.9,0.3
8.0,0.994607,0.99,0.3
40.0,0.9976316,0.5,0.35
39.0,0.99648,0.8,0.35
49.0,0.9970653,0.9,0.35
18.0,0.99535745,0.99,0.35
52.0,0.9966852,0.5,0.4
49.0,0.99712896,0.8,0.4
59.0,0.9969407,0.9,0.4
23.0,0.9960114,0.99,0.4
59.0,0.99652445,0.5,0.45
52.0,0.9964087,0.8,0.45
33.0,0.997728,0.9,0.45
17.0,0.9953802,0.99,0.45
33.0,0.9978128,0.5,0.3
46.0,0.9973081,0.8,0.3
35.0,0.9962111,0.9,0.3
40.0,0.9954071,0.99,0.3
44.0,0.9977514,0.5,0.35
43.0,0.9979276,0.8,0.35
54.0,0.9975402,0.9,0.35
8.0,0.9947488,0.99,0.35
52.0,0.9968656,0.5,0.4
56.0,0.996819,0.8,0.4
51.0,0.9976636,0.9,0.4
21.0,0.9957939,0.99,0.4
67.0,0.9984054,0.5,0.45
36.0,0.9975898,0.8,0.45
67.0,0.9981432,0.9,0.45
25.0,0.99609566,0.99,0.45
32.0,0.99831736,0.5,0.3
42.0,0.99760383,0.8,0.3
44.0,0.9976221,0.9,0.3
8.0,0.99487644,0.99,0.3
32.0,0.9981045,0.5,0.35
41.0,0.9976779,0.8,0.35
51.0,0.9974196,0.9,0.35
44.0,0.9954503,0.99,0.35
53.0,0.99688596,0.5,0.4
55.0,0.99708766,0.8,0.4
58.0,0.99653447,0.9,0.4
23.0,0.99437284,0.99,0.4
51.0,0.99764615,0.5,0.45
56.0,0.99614924,0.8,0.45
31.0,0.99792063,0.9,0.45
31.0,0.9961612,0.99,0.45
40.0,0.9972846,0.5,0.3
30.0,0.99773145,0.8,0.3
37.0,0.9978233,0.9,0.3
9.0,0.99518114,0.99,0.3
49.0,0.9968272,0.5,0.35
42.0,0.9975333,0.8,0.35
48.0,0.9971961,0.9,0.35
49.0,0.9957407,0.99,0.35
44.0,0.99802196,0.5,0.4
56.0,0.9971272,0.8,0.4
53.0,0.99752504,0.9,0.4
25.0,0.9956387,0.99,0.4
57.0,0.9977866,0.5,0.45
62.0,0.99825966,0.8,0.45
62.0,0.99802697,0.9,0.45
18.0,0.99590755,0.99,0.45
39.0,0.99817276,0.5,0.3
37.0,0.99711466,0.8,0.3
43.0,0.9972428,0.9,0.3
9.0,0.99560165,0.99,0.3
39.0,0.99706584,0.5,0.35
52.0,0.9972997,0.8,0.35
58.0,0.99662596,0.9,0.35
43.0,0.9952423,0.99,0.35
47.0,0.99773103,0.5,0.4
53.0,0.9973514,0.8,0.4
51.0,0.99717665,0.9,0.4
11.0,0.9939764,0.99,0.4
55.0,0.9973441,0.5,0.45
34.0,0.9980237,0.8,0.45
57.0,0.9965253,0.9,0.45
27.0,0.99405336,0.99,0.45
42.0,0.9977754,0.5,0.3
46.0,0.9969277,0.8,0.3
28.0,0.9983656,0.9,0.3
18.0,0.9957343,0.99,0.3
37.0,0.9980102,0.5,0.35
45.0,0.9973946,0.8,0.35
56.0,0.9980945,0.9,0.35
33.0,0.99656874,0.99,0.35
40.0,0.99708635,0.5,0.4
54.0,0.9977944,0.8,0.4
59.0,0.99655527,0.9,0.4
10.0,0.9959001,0.99,0.4
53.0,0.9978026,0.5,0.45
56.0,0.99768054,0.8,0.45
26.0,0.9975022,0.9,0.45
51.0,0.9953466,0.99,0.45
33.0,0.99802554,0.5,0.3
41.0,0.99779576,0.8,0.3
36.0,0.99746704,0.9,0.3
19.0,0.9957259,0.99,0.3
30.0,0.9976736,0.5,0.35
38.0,0.9976832,0.8,0.35
48.0,0.9967104,0.9,0.35
17.0,0.99546486,0.99,0.35
49.0,0.997068,0.5,0.4
52.0,0.9974834,0.8,0.4
51.0,0.9962932,0.9,0.4
17.0,0.99490803,0.99,0.4
56.0,0.9975905,0.5,0.45
55.0,0.9977963,0.8,0.45
38.0,0.99764115,0.9,0.45
29.0,0.994703,0.99,0.45
32.0,0.99803853,0.5,0.3
25.0,0.99833184,0.8,0.3
46.0,0.9967076,0.9,0.3
39.0,0.9955509,0.99,0.3
49.0,0.9970166,0.5,0.35
39.0,0.9972056,0.8,0.35
55.0,0.9978506,0.9,0.35
44.0,0.9959231,0.99,0.35
54.0,0.9975367,0.5,0.4
54.0,0.9969531,0.8,0.4
57.0,0.997806,0.9,0.4
25.0,0.9953282,0.99,0.4
58.0,0.9978464,0.5,0.45
57.0,0.99712574,0.8,0.45
58.0,0.99665,0.9,0.45
26.0,0.9948997,0.99,0.45
31.0,0.9978972,0.5,0.3
34.0,0.9980128,0.8,0.3
34.0,0.9966908,0.9,0.3
21.0,0.9966222,0.99,0.3
36.0,0.99779946,0.5,0.35
44.0,0.9975367,0.8,0.35
50.0,0.9975273,0.9,0.35
41.0,0.99586135,0.99,0.35
57.0,0.9978015,0.5,0.4
56.0,0.99731624,0.8,0.4
62.0,0.9981115,0.9,0.4
22.0,0.9955278,0.99,0.4
57.0,0.99654526,0.5,0.45
56.0,0.99682087,0.8,0.45
28.0,0.9981969,0.9,0.45
23.0,0.9946952,0.99,0.45
33.0,0.9979439,0.5,0.3
48.0,0.99737346,0.8,0.3
48.0,0.99740905,0.9,0.3
33.0,0.9956964,0.99,0.3
42.0,0.9976218,0.5,0.35
41.0,0.9975962,0.8,0.35
43.0,0.99767804,0.9,0.35
23.0,0.994931,0.99,0.35
47.0,0.9973656,0.5,0.4
56.0,0.99777013,0.8,0.4
46.0,0.99719906,0.9,0.4
23.0,0.9947808,0.99,0.4
58.0,0.9966045,0.5,0.45
73.0,0.9982565,0.8,0.45
41.0,0.99797463,0.9,0.45
31.0,0.9959466,0.99,0.45
32.0,0.99817276,0.5,0.3
40.0,0.9973606,0.8,0.3
39.0,0.9979812,0.9,0.3
17.0,0.9964619,0.99,0.3
39.0,0.9975861,0.5,0.35
46.0,0.99669397,0.8,0.35
40.0,0.9980103,0.9,0.35
41.0,0.9956346,0.99,0.35
53.0,0.997759,0.5,0.4
50.0,0.99790657,0.8,0.4
54.0,0.9972896,0.9,0.4
9.0,0.9955224,0.99,0.4
53.0,0.9964792,0.5,0.45
59.0,0.99762625,0.8,0.45
37.0,0.9974515,0.9,0.45
56.0,0.9957945,0.99,0.45
32.0,0.99838465,0.5,0.3
32.0,0.9973134,0.8,0.3
47.0,0.9973026,0.9,0.3
10.0,0.9956327,0.99,0.3
41.0,0.9976538,0.5,0.35
45.0,0.9971647,0.8,0.35
50.0,0.9977523,0.9,0.35
18.0,0.99624264,0.99,0.35
52.0,0.9970114,0.5,0.4
48.0,0.9954916,0.8,0.4
58.0,0.99624103,0.9,0.4
27.0,0.9943239,0.99,0.4
53.0,0.99703074,0.5,0.45
57.0,0.9968929,0.8,0.45
57.0,0.99689525,0.9,0.45
31.0,0.9953484,0.99,0.45
32.0,0.9983349,0.5,0.3
30.0,0.9976707,0.8,0.3
40.0,0.9976707,0.9,0.3
15.0,0.9957902,0.99,0.3
50.0,0.9974633,0.5,0.35
49.0,0.9976156,0.8,0.35
45.0,0.9970539,0.9,0.35
13.0,0.9957122,0.99,0.35
45.0,0.9966365,0.5,0.4
55.0,0.998094,0.8,0.4
49.0,0.997246,0.9,0.4
28.0,0.99551797,0.99,0.4
56.0,0.9978908,0.5,0.45
58.0,0.9975472,0.8,0.45
57.0,0.9973486,0.9,0.45
27.0,0.9945448,0.99,0.45
28.0,0.9987086,0.5,0.3
46.0,0.9973788,0.8,0.3
39.0,0.9971377,0.9,0.3
14.0,0.9962734,0.99,0.3
43.0,0.99685925,0.5,0.35
45.0,0.9967558,0.8,0.35
56.0,0.9981279,0.9,0.35
5.0,0.99554896,0.99,0.35
44.0,0.9976495,0.5,0.4
65.0,0.9981292,0.8,0.4
60.0,0.9976818,0.9,0.4
59.0,0.99569273,0.99,0.4
47.0,0.99687827,0.5,0.45
64.0,0.99797577,0.8,0.45
63.0,0.99655527,0.9,0.45
30.0,0.99508595,0.99,0.45
34.0,0.9981184,0.5,0.3
31.0,0.9982254,0.8,0.3
37.0,0.9974,0.9,0.3
37.0,0.9960033,0.99,0.3
47.0,0.99695104,0.5,0.35
56.0,0.9973757,0.8,0.35
44.0,0.9974,0.9,0.35
43.0,0.9967216,0.99,0.35
45.0,0.9965975,0.5,0.4
50.0,0.99668604,0.8,0.4
53.0,0.99702996,0.9,0.4
12.0,0.9946369,0.99,0.4
32.0,0.99777335,0.5,0.45
58.0,0.996327,0.8,0.45
54.0,0.9967149,0.9,0.45
10.0,0.9947034,0.99,0.45
40.0,0.99831223,0.5,0.3
38.0,0.997947,0.8,0.3
37.0,0.9974969,0.9,0.3
10.0,0.9936205,0.99,0.3
36.0,0.99795157,0.5,0.35
57.0,0.9980393,0.8,0.35
40.0,0.9964887,0.9,0.35
17.0,0.995495,0.99,0.35
52.0,0.9970272,0.5,0.4
58.0,0.997305,0.8,0.4
53.0,0.9965708,0.9,0.4
29.0,0.9953848,0.99,0.4
54.0,0.9969255,0.5,0.45
48.0,0.9970776,0.8,0.45
46.0,0.99770963,0.9,0.45
10.0,0.9966978,0.99,0.45
31.0,0.9979562,0.5,0.3
31.0,0.9969675,0.8,0.3
40.0,0.9979754,0.9,0.3
17.0,0.99567074,0.99,0.3
39.0,0.99744993,0.5,0.35
43.0,0.99785656,0.8,0.35
45.0,0.99752164,0.9,0.35
15.0,0.9953717,0.99,0.35
51.0,0.99763095,0.5,0.4
64.0,0.9977283,0.8,0.4
60.0,0.99661255,0.9,0.4
21.0,0.9954573,0.99,0.4
60.0,0.99650687,0.5,0.45
63.0,0.99800056,0.8,0.45
64.0,0.9980653,0.9,0.45
14.0,0.9963131,0.99,0.45
31.0,0.99811894,0.5,0.3
30.0,0.9976974,0.8,0.3
42.0,0.99613625,0.9,0.3
13.0,0.9966679,0.99,0.3
36.0,0.9978524,0.5,0.35
46.0,0.99747276,0.8,0.35
48.0,0.99611646,0.9,0.35
47.0,0.9947951,0.99,0.35
51.0,0.99739856,0.5,0.4
56.0,0.99631196,0.8,0.4
54.0,0.9975937,0.9,0.4
27.0,0.99530053,0.99,0.4
53.0,0.9969455,0.5,0.45
35.0,0.99794,0.8,0.45
62.0,0.9979607,0.9,0.45
23.0,0.9963451,0.99,0.45
38.0,0.9971219,0.5,0.3
41.0,0.99740356,0.8,0.3
34.0,0.99773973,0.9,0.3
7.0,0.9966203,0.99,0.3
35.0,0.99739546,0.5,0.35
43.0,0.99764,0.8,0.35
47.0,0.99681056,0.9,0.35
12.0,0.99431527,0.99,0.35
42.0,0.9977333,0.5,0.4
55.0,0.997017,0.8,0.4
46.0,0.99735284,0.9,0.4
27.0,0.99494994,0.99,0.4
50.0,0.9961934,0.5,0.45
61.0,0.99773747,0.8,0.45
56.0,0.9965392,0.9,0.45
17.0,0.99547684,0.99,0.45
37.0,0.9969686,0.5,0.3
44.0,0.9970614,0.8,0.3
38.0,0.9975841,0.9,0.3
19.0,0.9953519,0.99,0.3
35.0,0.9984898,0.5,0.35
50.0,0.9972934,0.8,0.35
37.0,0.99723077,0.9,0.35
12.0,0.9948027,0.99,0.35
42.0,0.9977163,0.5,0.4
57.0,0.9969912,0.8,0.4
53.0,0.9973274,0.9,0.4
23.0,0.9962525,0.99,0.4
60.0,0.99802166,0.5,0.45
51.0,0.99710006,0.8,0.45
58.0,0.99780923,0.9,0.45
28.0,0.99618065,0.99,0.45
25.0,0.99757046,0.5,0.3
39.0,0.9967504,0.8,0.3
45.0,0.9976275,0.9,0.3
13.0,0.99554306,0.99,0.3
35.0,0.99727887,0.5,0.35
53.0,0.9978042,0.8,0.35
45.0,0.99734086,0.9,0.35
19.0,0.9953999,0.99,0.35
44.0,0.997407,0.5,0.4
47.0,0.997453,0.8,0.4
60.0,0.99780566,0.9,0.4
10.0,0.9945809,0.99,0.4
58.0,0.9979906,0.5,0.45
56.0,0.9969418,0.8,0.45
61.0,0.99769986,0.9,0.45
31.0,0.99675965,0.99,0.45
34.0,0.9972806,0.5,0.3
35.0,0.9983126,0.8,0.3
37.0,0.99730337,0.9,0.3
17.0,0.995548,0.99,0.3
32.0,0.9979387,0.5,0.35
45.0,0.99683374,0.8,0.35
51.0,0.99671537,0.9,0.35
22.0,0.9955656,0.99,0.35
52.0,0.99771804,0.5,0.4
50.0,0.997981,0.8,0.4
57.0,0.9963883,0.9,0.4
9.0,0.99496645,0.99,0.4
56.0,0.9978744,0.5,0.45
63.0,0.9979963,0.8,0.45
58.0,0.9977231,0.9,0.45
50.0,0.9962097,0.99,0.45
35.0,0.9982375,0.5,0.3
40.0,0.9971291,0.8,0.3
35.0,0.99713296,0.9,0.3
37.0,0.99537504,0.99,0.3
40.0,0.9980297,0.5,0.35
42.0,0.99702394,0.8,0.35
46.0,0.9966094,0.9,0.35
42.0,0.9959899,0.99,0.35
51.0,0.9963046,0.5,0.4
49.0,0.99797624,0.8,0.4
56.0,0.99732447,0.9,0.4
17.0,0.9953297,0.99,0.4
56.0,0.99719775,0.5,0.45
57.0,0.996346,0.8,0.45
35.0,0.9977438,0.9,0.45
19.0,0.9965885,0.99,0.45
41.0,0.99802685,0.5,0.3
50.0,0.99693555,0.8,0.3
35.0,0.9983509,0.9,0.3
20.0,0.9962895,0.99,0.3
39.0,0.9980898,0.5,0.35
51.0,0.9970311,0.8,0.35
45.0,0.996186,0.9,0.35
22.0,0.9956935,0.99,0.35
48.0,0.9966278,0.5,0.4
64.0,0.9982604,0.8,0.4
53.0,0.9961003,0.9,0.4
49.0,0.9970205,0.99,0.4
31.0,0.9977957,0.5,0.45
62.0,0.9965657,0.8,0.45
50.0,0.9955816,0.9,0.45
12.0,0.99474704,0.99,0.45
39.0,0.99773586,0.5,0.3
34.0,0.99746597,0.8,0.3
44.0,0.9978939,0.9,0.3
38.0,0.9959967,0.99,0.3
42.0,0.99686456,0.5,0.35
47.0,0.99697334,0.8,0.35
45.0,0.99742776,0.9,0.35
26.0,0.9954321,0.99,0.35
63.0,0.9981984,0.5,0.4
58.0,0.9973655,0.8,0.4
21.0,0.99756575,0.9,0.4
51.0,0.995934,0.99,0.4
49.0,0.9962481,0.5,0.45
56.0,0.9964475,0.8,0.45
35.0,0.99800533,0.9,0.45
27.0,0.99601233,0.99,0.45
36.0,0.9979385,0.5,0.3
30.0,0.9980004,0.8,0.3
45.0,0.9978426,0.9,0.3
16.0,0.99654996,0.99,0.3
42.0,0.9973961,0.5,0.35
43.0,0.9976382,0.8,0.35
50.0,0.9972407,0.9,0.35
9.0,0.9948714,0.99,0.35
57.0,0.9972621,0.5,0.4
49.0,0.9965245,0.8,0.4
62.0,0.99803674,0.9,0.4
21.0,0.9942291,0.99,0.4
45.0,0.9966948,0.5,0.45
68.0,0.9979746,0.8,0.45
58.0,0.9966771,0.9,0.45
38.0,0.99452376,0.99,0.45
40.0,0.99787974,0.5,0.3
31.0,0.99752396,0.8,0.3
41.0,0.99738264,0.9,0.3
13.0,0.9949398,0.99,0.3
48.0,0.99814653,0.5,0.35
52.0,0.9971588,0.8,0.35
41.0,0.99633336,0.9,0.35
14.0,0.99586385,0.99,0.35
52.0,0.9968636,0.5,0.4
53.0,0.9975945,0.8,0.4
61.0,0.99812156,0.9,0.4
16.0,0.994869,0.99,0.4
49.0,0.99688405,0.5,0.45
29.0,0.9979111,0.8,0.45
55.0,0.99650216,0.9,0.45
29.0,0.9954405,0.99,0.45
47.0,0.99787456,0.5,0.3
39.0,0.9968301,0.8,0.3
45.0,0.9969721,0.9,0.3
11.0,0.99623144,0.99,0.3
52.0,0.9976013,0.5,0.35
43.0,0.9976619,0.8,0.35
42.0,0.99683976,0.9,0.35
16.0,0.9952329,0.99,0.35
46.0,0.99652374,0.5,0.4
59.0,0.9980211,0.8,0.4
55.0,0.9971673,0.9,0.4
36.0,0.9948072,0.99,0.4
56.0,0.9967849,0.5,0.45
33.0,0.9978512,0.8,0.45
29.0,0.9978199,0.9,0.45
26.0,0.99561554,0.99,0.45
29.0,0.9981934,0.5,0.3
52.0,0.997159,0.8,0.3
42.0,0.99670136,0.9,0.3
19.0,0.9956564,0.99,0.3
39.0,0.99803346,0.5,0.35
43.0,0.9979294,0.8,0.35
55.0,0.9963443,0.9,0.35
15.0,0.9961661,0.99,0.35
56.0,0.9974649,0.5,0.4
47.0,0.9976201,0.8,0.4
49.0,0.9968083,0.9,0.4
20.0,0.9962513,0.99,0.4
57.0,0.9975181,0.5,0.45
57.0,0.9969126,0.8,0.45
56.0,0.99647033,0.9,0.45
23.0,0.99454945,0.99,0.45
30.0,0.9983861,0.5,0.3
29.0,0.99749947,0.8,0.3
41.0,0.9971223,0.9,0.3
17.0,0.9960174,0.99,0.3
37.0,0.99806404,0.5,0.35
49.0,0.996737,0.8,0.35
47.0,0.9973838,0.9,0.35
20.0,0.99561405,0.99,0.35
50.0,0.99702823,0.5,0.4
50.0,0.9969361,0.8,0.4
44.0,0.99667126,0.9,0.4
24.0,0.9943198,0.99,0.4
56.0,0.9977814,0.5,0.45
69.0,0.998428,0.8,0.45
57.0,0.9973654,0.9,0.45
6.0,0.9954825,0.99,0.45
43.0,0.99728423,0.5,0.3
46.0,0.9975463,0.8,0.3
45.0,0.99743396,0.9,0.3
18.0,0.99537086,0.99,0.3
40.0,0.9974883,0.5,0.35
49.0,0.99690557,0.8,0.35
50.0,0.9980359,0.9,0.35
8.0,0.99541867,0.99,0.35
45.0,0.99766,0.5,0.4
52.0,0.9974358,0.8,0.4
49.0,0.9962503,0.9,0.4
23.0,0.9964217,0.99,0.4
49.0,0.9968972,0.5,0.45
57.0,0.99641615,0.8,0.45
31.0,0.997752,0.9,0.45
16.0,0.994914,0.99,0.45
36.0,0.99741787,0.5,0.3
30.0,0.9986729,0.8,0.3
43.0,0.9974494,0.9,0.3
7.0,0.99468654,0.99,0.3
46.0,0.99808633,0.5,0.35
41.0,0.997577,0.8,0.35
43.0,0.9973113,0.9,0.35
26.0,0.9968139,0.99,0.35
55.0,0.9977683,0.5,0.4
48.0,0.99766654,0.8,0.4
50.0,0.99612087,0.9,0.4
52.0,0.9955556,0.99,0.4
58.0,0.9967928,0.5,0.45
67.0,0.997946,0.8,0.45
60.0,0.99610853,0.9,0.45
52.0,0.99456507,0.99,0.45
33.0,0.9975663,0.5,0.3
30.0,0.9980687,0.8,0.3
46.0,0.99773234,0.9,0.3
9.0,0.9951443,0.99,0.3
34.0,0.99759024,0.5,0.35
49.0,0.9972416,0.8,0.35
48.0,0.9969386,0.9,0.35
44.0,0.9955019,0.99,0.35
42.0,0.9973947,0.5,0.4
56.0,0.99801517,0.8,0.4
49.0,0.9973914,0.9,0.4
7.0,0.9961333,0.99,0.4
58.0,0.997675,0.5,0.45
56.0,0.9977409,0.8,0.45
36.0,0.997669,0.9,0.45
28.0,0.9969041,0.99,0.45
35.0,0.9986152,0.5,0.3
41.0,0.9974887,0.8,0.3
39.0,0.99733377,0.9,0.3
11.0,0.99520767,0.99,0.3
48.0,0.9975997,0.5,0.35
41.0,0.99751043,0.8,0.35
48.0,0.99760914,0.9,0.35
41.0,0.9954997,0.99,0.35
45.0,0.99624515,0.5,0.4
49.0,0.9977206,0.8,0.4
46.0,0.99631375,0.9,0.4
10.0,0.99554896,0.99,0.4
51.0,0.99787563,0.5,0.45
69.0,0.99825215,0.8,0.45
50.0,0.9969329,0.9,0.45
34.0,0.9969098,0.99,0.45
42.0,0.9975374,0.5,0.3
48.0,0.9971936,0.8,0.3
38.0,0.9980346,0.9,0.3
8.0,0.99490446,0.99,0.3
45.0,0.99667597,0.5,0.35
46.0,0.9978861,0.8,0.35
43.0,0.99785197,0.9,0.35
25.0,0.995056,0.99,0.35
56.0,0.9976739,0.5,0.4
58.0,0.9970456,0.8,0.4
40.0,0.9967874,0.9,0.4
30.0,0.99534637,0.99,0.4
57.0,0.99782777,0.5,0.45
57.0,0.99774665,0.8,0.45
59.0,0.9964949,0.9,0.45
49.0,0.9952608,0.99,0.45
36.0,0.99775124,0.5,0.3
36.0,0.9969615,0.8,0.3
40.0,0.9968902,0.9,0.3
38.0,0.9967464,0.99,0.3
31.0,0.99792993,0.5,0.35
48.0,0.99817944,0.8,0.35
42.0,0.9969544,0.9,0.35
16.0,0.9951485,0.99,0.35
43.0,0.9976108,0.5,0.4
49.0,0.9958708,0.8,0.4
57.0,0.9976933,0.9,0.4
22.0,0.9965502,0.99,0.4
54.0,0.9976233,0.5,0.45
58.0,0.9977414,0.8,0.45
63.0,0.99682266,0.9,0.45
56.0,0.9953686,0.99,0.45
36.0,0.99810326,0.5,0.3
34.0,0.99790025,0.8,0.3
39.0,0.99754137,0.9,0.3
30.0,0.9949352,0.99,0.3
31.0,0.99808705,0.5,0.35
42.0,0.9976233,0.8,0.35
54.0,0.9971538,0.9,0.35
6.0,0.9961057,0.99,0.35
44.0,0.9969319,0.5,0.4
44.0,0.99760914,0.8,0.4
55.0,0.9968174,0.9,0.4
20.0,0.9960539,0.99,0.4
54.0,0.99674284,0.5,0.45
57.0,0.9978339,0.8,0.45
63.0,0.9981078,0.9,0.45
18.0,0.99610555,0.99,0.45
29.0,0.99819076,0.5,0.3
40.0,0.99704975,0.8,0.3
46.0,0.99697196,0.9,0.3
13.0,0.9954825,0.99,0.3
53.0,0.9973291,0.5,0.35
49.0,0.9978757,0.8,0.35
43.0,0.99689156,0.9,0.35
13.0,0.99504346,0.99,0.35
44.0,0.9975069,0.5,0.4
56.0,0.9981193,0.8,0.4
53.0,0.9971178,0.9,0.4
26.0,0.99609405,0.99,0.4
60.0,0.9978346,0.5,0.45
30.0,0.9977006,0.8,0.45
61.0,0.99774015,0.9,0.45
9.0,0.99522406,0.99,0.45
36.0,0.9977294,0.5,0.3
41.0,0.9975485,0.8,0.3
39.0,0.99789137,0.9,0.3
21.0,0.994655,0.99,0.3
50.0,0.99775696,0.5,0.35
44.0,0.9981477,0.8,0.35
50.0,0.9965604,0.9,0.35
38.0,0.9952584,0.99,0.35
55.0,0.9977966,0.5,0.4
47.0,0.99674284,0.8,0.4
56.0,0.99677545,0.9,0.4
56.0,0.9962708,0.99,0.4
59.0,0.9979383,0.5,0.45
59.0,0.9969317,0.8,0.45
57.0,0.9972459,0.9,0.45
9.0,0.9962293,0.99,0.45
27.0,0.998777,0.5,0.3
34.0,0.99798656,0.8,0.3
47.0,0.9967931,0.9,0.3
15.0,0.99535394,0.99,0.3
44.0,0.9968749,0.5,0.35
42.0,0.9972786,0.8,0.35
42.0,0.9979025,0.9,0.35
21.0,0.9949829,0.99,0.35
48.0,0.9969834,0.5,0.4
52.0,0.99733233,0.8,0.4
48.0,0.99803805,0.9,0.4
18.0,0.99611026,0.99,0.4
59.0,0.9972515,0.5,0.45
71.0,0.9983935,0.8,0.45
50.0,0.99739105,0.9,0.45
30.0,0.99556655,0.99,0.45
35.0,0.9987648,0.5,0.3
42.0,0.9979639,0.8,0.3
51.0,0.99710953,0.9,0.3
22.0,0.99553084,0.99,0.3
36.0,0.9976606,0.5,0.35
39.0,0.997859,0.8,0.35
49.0,0.9960865,0.9,0.35
11.0,0.9950816,0.99,0.35
42.0,0.99741477,0.5,0.4
51.0,0.9976648,0.8,0.4
56.0,0.9979151,0.9,0.4
11.0,0.99540126,0.99,0.4
57.0,0.99703324,0.5,0.45
58.0,0.9975607,0.8,0.45
60.0,0.9978683,0.9,0.45
18.0,0.9954643,0.99,0.45
33.0,0.99717283,0.5,0.3
33.0,0.9974574,0.8,0.3
40.0,0.9975611,0.9,0.3
18.0,0.9955226,0.99,0.3
37.0,0.9980824,0.5,0.35
45.0,0.9967871,0.8,0.35
49.0,0.99670535,0.9,0.35
17.0,0.99544924,0.99,0.35
50.0,0.9978118,0.5,0.4
55.0,0.9969405,0.8,0.4
57.0,0.9962371,0.9,0.4
15.0,0.99571407,0.99,0.4
53.0,0.99752504,0.5,0.45
53.0,0.9966303,0.8,0.45
31.0,0.9977604,0.9,0.45
31.0,0.99502856,0.99,0.45
35.0,0.997476,0.5,0.3
36.0,0.9968932,0.8,0.3
41.0,0.9980978,0.9,0.3
10.0,0.99596286,0.99,0.3
43.0,0.9964425,0.5,0.35
52.0,0.9962367,0.8,0.35
49.0,0.9970667,0.9,0.35
21.0,0.9959035,0.99,0.35
55.0,0.9977643,0.5,0.4
57.0,0.9966046,0.8,0.4
50.0,0.9962386,0.9,0.4
14.0,0.9966411,0.99,0.4
54.0,0.997071,0.5,0.45
31.0,0.9977465,0.8,0.45
58.0,0.99675304,0.9,0.45
22.0,0.99668324,0.99,0.45
30.0,0.9980385,0.5,0.3
47.0,0.9974044,0.8,0.3
35.0,0.99812645,0.9,0.3
12.0,0.9952094,0.99,0.3
49.0,0.9965769,0.5,0.35
48.0,0.99757,0.8,0.35
57.0,0.9973939,0.9,0.35
18.0,0.99589264,0.99,0.35
52.0,0.9970583,0.5,0.4
53.0,0.9973805,0.8,0.4
59.0,0.99778885,0.9,0.4
22.0,0.99566096,0.99,0.4
51.0,0.9962021,0.5,0.45
59.0,0.9976397,0.8,0.45
62.0,0.9978144,0.9,0.45
26.0,0.99619603,0.99,0.45
42.0,0.9982543,0.5,0.3
39.0,0.99814063,0.8,0.3
38.0,0.99760497,0.9,0.3
9.0,0.99562997,0.99,0.3
40.0,0.9974031,0.5,0.35
55.0,0.99679965,0.8,0.35
41.0,0.997785,0.9,0.35
15.0,0.99633485,0.99,0.35
56.0,0.9981723,0.5,0.4
48.0,0.99770474,0.8,0.4
51.0,0.99701357,0.9,0.4
27.0,0.9961195,0.99,0.4
55.0,0.99680126,0.5,0.45
57.0,0.99702466,0.8,0.45
61.0,0.9977104,0.9,0.45
24.0,0.995963,0.99,0.45
23.0,0.99833196,0.5,0.3
39.0,0.9981049,0.8,0.3
