dim_old,dim_new,entropy_old,entropy_new
16,16,0.982525080414431,0.9758488179419421
22,15,0.982479251003309,0.9766397701915259
26,16,0.9827410641304908,0.9774459266262833
24,16,0.9823957139499295,0.9762118384185334
25,16,0.982225590057952,0.9757445086411785
19,15,0.9824570893779606,0.9764621603731725
29,14,0.9831219437767967,0.9761898399703436
29,14,0.9825873466232383,0.9753354215320382
21,14,0.9827900559023274,0.976549268477244
25,18,0.9824812310223343,0.9758813324815995
19,17,0.9831054571141784,0.9768195346702749
21,19,0.9823543707176059,0.9761622572825067
26,19,0.9824304301808754,0.9771584998944829
20,16,0.9823890328407288,0.9764980770532903
22,15,0.983298547282348,0.9762322675993018
22,20,0.9821188587985197,0.9758658544689531
19,15,0.982624696173707,0.9767970734129076
24,21,0.9829187782238635,0.9765515443481956
26,18,0.9825971686091467,0.9767207094462991
20,17,0.9824698449841769,0.975786279636716
19,15,0.9828577885087463,0.9763091576664044
24,18,0.9828485810097337,0.9755760487936918
17,15,0.982462619945896,0.9763128678676717
19,19,0.9824870384821752,0.9764376859082649
27,20,0.9830704186202924,0.9757470255315907
28,17,0.9827361715322073,0.9763225655784763
27,16,0.982448291712218,0.9764686242776319
21,15,0.9825437157059693,0.9765182830543736
23,19,0.9828178546533367,0.9771060107591785
15,17,0.9826317839545371,0.9764446595397308
25,14,0.9827452200213587,0.9765747506975969
22,18,0.9828965150741961,0.9762685453314314
21,20,0.9826263363963688,0.9767601076975201
24,16,0.9828649124465471,0.9762817111417591
26,20,0.9831529207056402,0.9766058746567808
17,15,0.9825391389448388,0.9765667868213829
16,18,0.9825105331656283,0.9764844263954071
19,20,0.9822793917030899,0.9763457666748473
27,18,0.9827729203017832,0.9758923712930974
15,18,0.9824926696744511,0.9763731005241035
17,19,0.9826164123676113,0.9761326303953102
23,19,0.9827385276667473,0.9774863083406905
19,19,0.9820134412884313,0.9763945441765621
24,18,0.983165157774859,0.9762365237531967
22,18,0.9825880527496338,0.9763888485023502
22,17,0.983215148782164,0.9771655234871841
21,18,0.9822519295367388,0.9760670727984571
23,15,0.982990993409921,0.9762875470884469
26,18,0.9826170301101865,0.9769072159105581
27,15,0.9824734554038795,0.9767427778266375
12,19,0.9828833470449299,0.9761867523193359
28,19,0.9823417429752112,0.9767469777054993
